a,b,k,d,ad,overlap_days,a_name,b_name
sse/880472,sse/880850,111,0.38369552083236164,0.38369552083236164,3092,sse/880472 证券,sse/880850 定增预案
sse/880881,sse/880723,117,0.38220957454597715,0.38220957454597715,1203,sse/880881 近期弱势,sse/880723 发可转债
sse/880836,sse/880812,114,-0.38209128185934804,0.38209128185934804,1660,sse/880836 配股股,sse/880812 昨日连板
sse/880866,sse/880784,69,-0.38145632038792965,0.38145632038792965,1615,sse/880866 近期新低,sse/880784 昨日较弱
sse/880432,sse/880772,83,0.3812240213726698,0.3812240213726698,1038,sse/880432 运输设备,sse/880772 最近闪拉
sse/880889,sse/880784,103,-0.38106800772167326,0.38106800772167326,1595,sse/880889 不活跃股,sse/880784 昨日较弱
sse/880874,sse/880789,63,-0.38098881292016007,0.38098881292016007,1354,sse/880874 昨曾涨停,sse/880789 昨成交20
sse/880869,sse/880772,71,0.3798702720734587,0.3798702720734587,1038,sse/880869 股权转让,sse/880772 最近闪拉
sse/880847,sse/880812,114,-0.37934516547970176,0.37934516547970176,1974,sse/880847 行业龙头,sse/880812 昨日连板
sse/880473,sse/880640,105,0.3786264999233424,0.3786264999233424,919,sse/880473 保险,sse/880640 历史新高
sse/880421,sse/880603,105,0.37832459793953754,0.37832459793953754,1086,sse/880421 广告包装,sse/880603 新进指标股
sse/880895,sse/880812,116,-0.3762202797364747,0.3762202797364747,1974,sse/880895 持续增长,sse/880812 昨日连板
sse/880894,sse/880756,82,0.3760234585470639,0.3760234585470639,1146,sse/880894 养老金持股,sse/880756 机构吸筹
sse/880367,sse/880640,97,0.3728596205285192,0.3728596205285192,919,sse/880367 纺织服饰,sse/880640 历史新高
sse/880780,sse/880082,96,-0.3727488901204552,0.3727488901204552,1058,sse/880780 融资增加,sse/880082 板块趋势
sse/880474,sse/880640,101,0.3695982149336307,0.3695982149336307,919,sse/880474 多元金融,sse/880640 历史新高
sse/880778,sse/880620,114,-0.3695858275629578,0.3695858275629578,866,sse/880778 次新预增,sse/880620 券商金股
sse/880778,sse/880735,96,-0.3692465205753648,0.3692465205753648,1010,sse/880778 次新预增,sse/880735 专精特新
sse/880576,sse/880772,77,0.3687428780028972,0.3687428780028972,1038,sse/880576 重组股,sse/880772 最近闪拉
sse/880489,sse/880782,118,0.36843256423246257,0.36843256423246257,1678,sse/880489 IT设备,sse/880782 保险新进
sse/880784,sse/880769,105,0.36836364436025715,0.36836364436025715,1432,sse/880784 昨日较弱,sse/880769 股权集中
sse/880489,sse/880773,77,-0.36758701285184003,0.36758701285184003,983,sse/880489 IT设备,sse/880773 最近闪跌
sse/880865,sse/880812,119,-0.3675119750904946,0.3675119750904946,1974,sse/880865 近期新高,sse/880812 昨日连板
sse/880880,sse/880784,104,-0.3672766199174182,0.3672766199174182,1651,sse/880880 近期强势,sse/880784 昨日较弱
sse/880778,sse/880756,103,-0.3670544871782667,0.3670544871782667,970,sse/880778 次新预增,sse/880756 机构吸筹
sse/880817,sse/880603,119,0.3662515432736535,0.3662515432736535,1086,sse/880817 商誉减值,sse/880603 新进指标股
sse/880497,sse/880784,108,-0.36589023810973226,0.36589023810973226,1651,sse/880497 综合类,sse/880784 昨日较弱
sse/880867,sse/880792,106,0.36584887210988604,0.36584887210988604,1589,sse/880867 昨高换手,sse/880792 基金增仓
sse/880844,sse/880810,104,0.36501875900966974,0.36501875900966974,1361,sse/880844 预计扭亏,sse/880810 陆股通增
sse/880350,sse/880603,84,0.3641853831965032,0.3641853831965032,1086,sse/880350 造纸,sse/880603 新进指标股
sse/880867,sse/880778,83,0.36415233081888354,0.36415233081888354,1486,sse/880867 昨高换手,sse/880778 次新预增
sse/880821,sse/880812,114,-0.3638624025234981,0.3638624025234981,1974,sse/880821 大盘股,sse/880812 昨日连板
sse/880867,sse/880641,84,0.36357091218843474,0.36357091218843474,670,sse/880867 昨高换手,sse/880641 历史新低
sse/880874,sse/880603,50,-0.36322012315473795,0.36322012315473795,1086,sse/880874 昨曾涨停,sse/880603 新进指标股
sse/880881,sse/880082,101,-0.3628205224287394,0.3628205224287394,1040,sse/880881 近期弱势,sse/880082 板块趋势
sse/880399,sse/880783,118,0.3624177212012798,0.3624177212012798,1678,sse/880399 家居用品,sse/880783 社保新进
